20260917T1245	delta-flooded-shaft-wooden-pick	control	mcai-b1011b	alive	not	rise14	move18	picks_lost0	samples52
20260917T1245	delta-flooded-shaft-wooden-pick	candidate	mcai-owner	alive	not	rise17	move29	picks_lost0	samples119
20260917T1311	delta-flooded-shaft-wooden-pick	candidate	mcai-owner	alive	not	rise9	move14	picks_lost0	samples96
20260917T1311	delta-flooded-shaft-wooden-pick	control	mcai-b1011b	alive	not	rise13	move18	picks_lost0	samples55
20260917T1311	bravo-flooded-pocket-no-tools	candidate	mcai-owner	alive	not	rise0	move0	picks_lost0	samples343
20260917T1311	bravo-flooded-pocket-no-tools	control	mcai-b1011b	alive	not	rise0	move0	picks_lost0	samples37
20260918T0223	entombed-pick	control	mcai-b1011b	alive	not	rise4	move0	picks_lost0	samples36
20260918T0223	entombed-pick	candidate	mcai-owner	alive	not	rise4	move2	picks_lost0	samples47
20260918T0223	entombed-nopick	candidate	mcai-owner	alive	not	rise10	move6	picks_lost1	samples123
20260918T0223	entombed-nopick	control	mcai-b1011b	alive	not	rise10	move13	picks_lost1	samples40
20260918T0223	delta-flooded-shaft-wooden-pick	candidate	mcai-owner	alive	not	rise10	move36	picks_lost0	samples101
20260918T0223	delta-flooded-shaft-wooden-pick	control	mcai-b1011b	alive	not	rise13	move18	picks_lost0	samples52
20260918T0223	bravo-flooded-pocket-no-tools	control	mcai-b1011b	alive	not	rise0	move0	picks_lost0	samples74
20260918T0223	bravo-flooded-pocket-no-tools	candidate	mcai-owner	alive	not	rise0	move0	picks_lost0	samples226
20260918T0256	entombed-pick	control	mcai-b1011b	alive	not	rise4	move0	picks_lost0	samples36
20260918T0256	entombed-pick	candidate	mcai-owner	alive	not	rise15	move27	picks_lost0	samples56
20260918T0256	entombed-pick	control	mcai-b1011b	alive	not	rise6	move11	picks_lost0	samples43
20260918T0256	entombed-pick	candidate	mcai-owner	alive	not	rise15	move27	picks_lost0	samples52
20260918T0256	entombed-pick	control	mcai-b1011b	alive	not	rise4	move11	picks_lost0	samples36
20260918T0256	entombed-pick	candidate	mcai-owner	alive	not	rise5	move13	picks_lost0	samples60
20260918T0256	entombed-nopick	control	mcai-b1011b	alive	not	rise4	move0	picks_lost1	samples36
20260918T0256	entombed-nopick	candidate	mcai-owner	alive	not	rise4	move13	picks_lost1	samples48
20260918T0256	entombed-nopick	candidate	mcai-owner	alive	not	rise4	move0	picks_lost0	samples50
20260918T0256	entombed-nopick	control	mcai-b1011b	alive	not	rise4	move0	picks_lost0	samples38
20260918T0256	entombed-nopick	candidate	mcai-owner	alive	not	rise6	move4	picks_lost0	samples45
20260918T0256	entombed-nopick	control	mcai-b1011b	alive	not	rise7	move4	picks_lost0	samples39
20260918T0256	delta-flooded-shaft-wooden-pick	candidate	mcai-owner	alive	not	rise8	move14	picks_lost0	samples91
20260918T0256	delta-flooded-shaft-wooden-pick	control	mcai-b1011b	alive	not	rise8	move3	picks_lost0	samples52
20260918T0256	delta-flooded-shaft-wooden-pick	candidate	mcai-owner	alive	not	rise30	move40	picks_lost0	samples93
20260918T0256	delta-flooded-shaft-wooden-pick	control	mcai-b1011b	alive	not	rise8	move3	picks_lost0	samples50
20260918T0256	delta-flooded-shaft-wooden-pick	candidate	mcai-owner	alive	not	rise15	move26	picks_lost0	samples93
20260918T0256	delta-flooded-shaft-wooden-pick	control	mcai-b1011b	alive	not	rise4	move0	picks_lost0	samples36
20260918T0256	bravo-flooded-pocket-no-tools	control	mcai-b1011b	alive	not	rise0	move0	picks_lost0	samples113
20260918T0256	bravo-flooded-pocket-no-tools	candidate	mcai-owner	alive	not	rise0	move0	picks_lost0	samples224
20260918T0256	bravo-flooded-pocket-no-tools	control	mcai-b1011b	alive	not	rise0	move0	picks_lost0	samples98
20260918T0256	bravo-flooded-pocket-no-tools	candidate	mcai-owner	alive	not	rise0	move0	picks_lost0	samples227
20260918T0256	bravo-flooded-pocket-no-tools	control	mcai-b1011b	alive	not	rise0	move0	picks_lost0	samples63
20260918T0256	bravo-flooded-pocket-no-tools	candidate	mcai-owner	alive	not	rise0	move0	picks_lost0	samples223
20260918T0357	entombed-pick	candidate	mcai-owner	alive	not	rise9	move4	picks_lost0	samples56
20260918T0357	entombed-pick	control	mcai-b1011b	alive	not	rise3	move0	picks_lost0	samples37
20260922T1119	wood-open-POSITIVE-CONTROL	candidate	mcai-shore	alive	not	rise7	move24	picks_lost0	samples7	logs+1	stone+0
20260922T1119	wood-open-POSITIVE-CONTROL	control	mcai-anylog	alive	not	rise4	move29	picks_lost0	samples19	logs+0	stone+0
20260922T1119	wood-open-POSITIVE-CONTROL	candidate	mcai-shore	alive	not	rise9	move21	picks_lost0	samples14	logs+1	stone+0
20260922T1119	wood-open-POSITIVE-CONTROL	control	mcai-anylog	alive	not	rise4	move29	picks_lost0	samples21	logs+11	stone+0
20260922T1119	wood-open-POSITIVE-CONTROL	candidate	mcai-shore	alive	not	rise9	move35	picks_lost0	samples32	logs+6	stone+0
20260922T1119	wood-open-POSITIVE-CONTROL	control	mcai-anylog	alive	not	rise8	move30	picks_lost0	samples28	logs+0	stone+0
20260922T1119	wood-open-POSITIVE-CONTROL	candidate	mcai-shore	alive	not	rise7	move35	picks_lost0	samples26	logs+0	stone+0
20260922T1119	wood-open-POSITIVE-CONTROL	control	mcai-anylog	alive	not	rise8	move25	picks_lost0	samples22	logs+1	stone+0
20260922T1119	wood-open-POSITIVE-CONTROL	control	mcai-anylog	alive	not	rise5	move23	picks_lost0	samples22	logs+0	stone+0
20260922T1119	wood-open-POSITIVE-CONTROL	candidate	mcai-shore	alive	not	rise7	move26	picks_lost0	samples24	logs+1	stone+0
20260922T1119	wood-canopy-unreachable	candidate	mcai-shore	alive	not	rise9	move28	picks_lost0	samples5	logs+0	stone+0
20260922T1119	wood-canopy-unreachable	control	mcai-anylog	alive	not	rise9	move23	picks_lost0	samples7	logs+0	stone+0
20260922T1119	wood-canopy-unreachable	control	mcai-anylog	alive	not	rise8	move16	picks_lost0	samples3	logs+0	stone+0
20260922T1119	wood-canopy-unreachable	candidate	mcai-shore	alive	not	rise11	move21	picks_lost0	samples19	logs+0	stone+0
20260922T1119	wood-canopy-unreachable	control	mcai-anylog	alive	not	rise9	move15	picks_lost0	samples3	logs+0	stone+0
20260922T1119	wood-canopy-unreachable	candidate	mcai-shore	alive	not	rise10	move22	picks_lost0	samples6	logs+0	stone+0
20260922T1119	wood-canopy-unreachable	control	mcai-anylog	alive	not	rise9	move11	picks_lost0	samples3	logs+0	stone+0
20260922T1119	wood-canopy-unreachable	candidate	mcai-shore	alive	not	rise10	move27	picks_lost0	samples8	logs+0	stone+0
20260922T1119	wood-canopy-unreachable	control	mcai-anylog	alive	not	rise3	move16	picks_lost0	samples3	logs+0	stone+0
20260922T1119	wood-canopy-unreachable	candidate	mcai-shore	alive	not	rise10	move22	picks_lost0	samples6	logs+0	stone+0
20260922T1119	wood-shoreline-nosafetarget	candidate	mcai-shore	alive	not	rise10	move29	picks_lost0	samples27	logs+4	stone+0
20260922T1119	wood-shoreline-nosafetarget	control	mcai-anylog	alive	not	rise4	move22	picks_lost0	samples20	logs+6	stone+0
20260922T1119	wood-shoreline-nosafetarget	candidate	mcai-shore	alive	not	rise6	move24	picks_lost0	samples8	logs+0	stone+0
20260922T1119	wood-shoreline-nosafetarget	control	mcai-anylog	alive	not	rise8	move20	picks_lost0	samples30	logs+0	stone+0
20260922T1119	wood-shoreline-nosafetarget	candidate	mcai-shore	alive	not	rise2	move15	picks_lost0	samples9	logs+0	stone+0
20260922T1119	wood-shoreline-nosafetarget	control	mcai-anylog	alive	not	rise7	move24	picks_lost0	samples20	logs+0	stone+0
20260922T1119	wood-shoreline-nosafetarget	candidate	mcai-shore	alive	not	rise1	move15	picks_lost0	samples13	logs+0	stone+0
20260922T1119	wood-shoreline-nosafetarget	control	mcai-anylog	alive	not	rise9	move24	picks_lost0	samples11	logs+0	stone+0
20260922T1119	wood-shoreline-nosafetarget	candidate	mcai-shore	alive	not	rise1	move19	picks_lost0	samples17	logs+4	stone+0
20260922T1119	wood-shoreline-nosafetarget	control	mcai-anylog	alive	not	rise9	move20	picks_lost0	samples9	logs+0	stone+0
20260922T1119	wood-buried-MUST-REFUSE	control	mcai-anylog	alive	not	rise0	move32	picks_lost0	samples3	logs+0	stone+0
20260922T1119	wood-buried-MUST-REFUSE	candidate	mcai-shore	alive	not	rise1	move26	picks_lost0	samples2	logs+0	stone+0
20260922T1119	wood-buried-MUST-REFUSE	control	mcai-anylog	alive	not	rise4	move16	picks_lost0	samples3	logs+0	stone+0
20260922T1119	wood-buried-MUST-REFUSE	candidate	mcai-shore	alive	not	rise7	move24	picks_lost0	samples4	logs+1	stone+0
20260922T1119	wood-buried-MUST-REFUSE	candidate	mcai-shore	alive	not	rise6	move24	picks_lost0	samples3	logs+0	stone+0
20260922T1119	wood-buried-MUST-REFUSE	control	mcai-anylog	alive	not	rise4	move16	picks_lost0	samples3	logs+0	stone+0
20260922T1119	wood-buried-MUST-REFUSE	candidate	mcai-shore	alive	not	rise9	move8	picks_lost0	samples3	logs+0	stone+0
20260922T1119	wood-buried-MUST-REFUSE	control	mcai-anylog	alive	not	rise4	move16	picks_lost0	samples4	logs+0	stone+0
20260922T1119	wood-buried-MUST-REFUSE	candidate	mcai-shore	alive	not	rise9	move8	picks_lost0	samples4	logs+0	stone+0
20260922T1119	wood-buried-MUST-REFUSE	control	mcai-anylog	alive	not	rise3	move17	picks_lost0	samples3	logs+0	stone+0
20260922T1119	wood-wetstone-LEAKAGE-MUST-REFUSE	candidate	mcai-shore	alive	not	rise19	move16	picks_lost0	samples77	logs+0	stone+3
20260922T1119	wood-wetstone-LEAKAGE-MUST-REFUSE	control	mcai-anylog	alive	not	rise14	move20	picks_lost0	samples30	logs+0	stone+5
20260922T1119	wood-wetstone-LEAKAGE-MUST-REFUSE	candidate	mcai-shore	alive	not	rise1	move1	picks_lost0	samples77	logs+0	stone+1
20260922T1119	wood-wetstone-LEAKAGE-MUST-REFUSE	control	mcai-anylog	alive	not	rise0	move3	picks_lost0	samples29	logs+0	stone+0
